posicion,fecha,horario,numero
1,23-08-2019,TEMPRANERO,-
1,23-08-2019,MATUTINO,395
1,23-08-2019,VESPERTINO,477
1,23-08-2019,EL EXTRA,-
1,23-08-2019,NOCTURNO,448
2,23-08-2019,TEMPRANERO,-
2,23-08-2019,MATUTINO,405
2,23-08-2019,VESPERTINO,632
2,23-08-2019,EL EXTRA,-
2,23-08-2019,NOCTURNO,681
3,23-08-2019,TEMPRANERO,-
3,23-08-2019,MATUTINO,700
3,23-08-2019,VESPERTINO,650
3,23-08-2019,EL EXTRA,-
3,23-08-2019,NOCTURNO,065
4,23-08-2019,TEMPRANERO,-
4,23-08-2019,MATUTINO,167
4,23-08-2019,VESPERTINO,938
4,23-08-2019,EL EXTRA,-
4,23-08-2019,NOCTURNO,758
5,23-08-2019,TEMPRANERO,-
5,23-08-2019,MATUTINO,746
5,23-08-2019,VESPERTINO,342
5,23-08-2019,EL EXTRA,-
5,23-08-2019,NOCTURNO,286
6,23-08-2019,TEMPRANERO,-
6,23-08-2019,MATUTINO,757
6,23-08-2019,VESPERTINO,528
6,23-08-2019,EL EXTRA,-
6,23-08-2019,NOCTURNO,157
7,23-08-2019,TEMPRANERO,-
7,23-08-2019,MATUTINO,650
7,23-08-2019,VESPERTINO,824
7,23-08-2019,EL EXTRA,-
7,23-08-2019,NOCTURNO,723
8,23-08-2019,TEMPRANERO,-
8,23-08-2019,MATUTINO,886
8,23-08-2019,VESPERTINO,898
8,23-08-2019,EL EXTRA,-
8,23-08-2019,NOCTURNO,014
9,23-08-2019,TEMPRANERO,-
9,23-08-2019,MATUTINO,080
9,23-08-2019,VESPERTINO,297
9,23-08-2019,EL EXTRA,-
9,23-08-2019,NOCTURNO,863
10,23-08-2019,TEMPRANERO,-
10,23-08-2019,MATUTINO,662
10,23-08-2019,VESPERTINO,220
10,23-08-2019,EL EXTRA,-
10,23-08-2019,NOCTURNO,863
11,23-08-2019,TEMPRANERO,-
11,23-08-2019,MATUTINO,708
11,23-08-2019,VESPERTINO,933
11,23-08-2019,EL EXTRA,-
11,23-08-2019,NOCTURNO,002
12,23-08-2019,TEMPRANERO,-
12,23-08-2019,MATUTINO,907
12,23-08-2019,VESPERTINO,562
12,23-08-2019,EL EXTRA,-
12,23-08-2019,NOCTURNO,413
13,23-08-2019,TEMPRANERO,-
13,23-08-2019,MATUTINO,014
13,23-08-2019,VESPERTINO,004
13,23-08-2019,EL EXTRA,-
13,23-08-2019,NOCTURNO,365
14,23-08-2019,TEMPRANERO,-
14,23-08-2019,MATUTINO,179
14,23-08-2019,VESPERTINO,514
14,23-08-2019,EL EXTRA,-
14,23-08-2019,NOCTURNO,611
1,22-08-2019,TEMPRANERO,-
1,22-08-2019,MATUTINO,566
